visual_id,class,reason,reviewer
V0401,N,Established gradual upward trend; fast and slow families separated,astra
V0402,N,Earlier quiet cluster preceded an already extended rise,astra
V0403,D,Compact six-line region but choppy spikes and a two-stage rise,astra
V0404,B,Middle SMA remains isolated below the upper cluster,astra
V0405,N,Slow pair remains far below the fast and middle families,astra
V0406,N,Earlier release has advanced; fast pair detached near signal,astra
V0407,B,Middle SMA overhead and fast SMA low after a deep drop,astra
V0408,B,Middle SMA isolated below the other converging lines,astra
V0505,B,Fast pair below overhead middle and slow lines,astra
V0506,B,V-shaped rebound; fast pair still below middle and slow lines,astra
V0507,B,Slow pair well below the partial fast-middle cluster,astra
V0508,B,Slow SMA overhead outside the partial cluster,astra
V0509,B,Middle SMA overhead while other lines cluster lower,astra
V0510,B,Fast SMA below the central cluster during rebound,astra
V0511,D,Recent convergence followed by a stepped advance and large final candle,astra
V0512,B,Slow SMA overhead and middle SMA below the partial cluster,astra
V0513,B,Slow SMA isolated below the fast-middle cluster,astra
V0514,D,Six-line convergence after a deep drop with uneven retraces and a large leap,astra
V0515,B,Fast pair below the flatter middle and slow lines,astra
V0516,B,Slow SMA overhead and middle SMA isolated below,astra
V0517,N,Established upward trend with fast-slow separation,astra
V0518,B,Slow SMA overhead outside a whipsawing partial cluster,astra
V0519,B,Slow SMA below partial convergence with large alternating candles,astra
V0520,B,Middle SMA isolated below and slow EMA overhead,astra
V0521,B,Slow pair below the fast-middle partial cluster,astra
V0522,N,Fast pair above a very distant slow SMA,astra
V0523,N,Sustained rally with detached fast pair near signal,astra
V0524,D,Recent compact region followed by a staircase rise and choppy wicks,astra
V0525,B,Slow pair below partial fast-middle convergence,astra
V0526,N,Mature upward stack with detached fast pair,astra
V0527,D,Recent six-line density with wide alternating swings and a prior jump,astra
V0528,D,Compact region but the signal follows an earlier jump and pullback,astra
V0561,N,Earlier convergence followed by an extended rise and fast-pair separation,astra
V0562,B,Fast pair below middle and slow lines during rebound,astra
V0563,D,Compact six-line region with repeated large alternating candles and wicks,astra
V0564,P,Quiet flat six-line bundle followed by a fresh two-bar upward release,astra
V0565,B,Middle SMA remains isolated below other rising families,astra
V0566,N,Rebound has advanced into separated fast and slow families,astra
V0567,D,Recent convergence but the rise began earlier and has choppy retraces,astra
V0568,D,Recent six-line cluster followed by release after wide prior swings,astra
V0673,B,Fast pair remains below the central cluster after a sharp drop,astra
V0674,N,Earlier quiet bundle followed by an already extended advance,astra
V0675,D,Recent six-line convergence but an earlier rise and repeated large candles,astra
V0676,B,Slow SMA remains above the converging middle and fast lines,astra
V0677,D,Compact six-line region with wide alternating swings before the rise,astra
V0678,B,Middle SMA remains below the partial cluster,astra
V0679,N,Signal follows an earlier spike and an extended advance,astra
V0680,D,Recent convergence but large choppy candles and an earlier step upward,astra
V0689,D,Compact six-line region with repeated wide swings and an older breakout,astra
V0690,N,Breakout occurred far earlier; fast pair already separates upward,astra
V0691,D,Six-line convergence with exceptionally large alternating candles,astra
V0692,B,Fast pair below the other families during a sharp rebound,astra
V0693,N,Signal follows an old breakout and extended fast-pair separation,astra
V0694,B,Fast pair below middle and slow families after a deep drop,astra
V0695,D,Recent compact bundle but rise started earlier with alternating candles,astra
V0696,D,Recent convergence after a prior step upward with large choppy candles,astra
V0769,B,Slow SMA remains isolated below the partial cluster,astra
V0770,B,Slow pair remains below the converging fast and middle families,astra
V0771,B,Slow SMA isolated below the partial convergence,astra
V0772,D,Six-line convergence but repeated large alternating candles and long wicks,astra
V0773,B,Middle SMA isolated below the partial cluster,astra
V0774,B,Slow SMA flat and isolated below the other lines,astra
V0775,N,Mature advance with fast pair detached above middle and slow lines,astra
V0776,B,Fast pair below the central cluster during rebound,astra
